text,user_suggested_label
"http://fake-site.com/login
",Safe
"# Sidebar
st.sidebar.title(""System Info"")
st.sidebar.info(""Model: Naive Bayes Classifier"")
st.sidebar.info(""Features: URL Scanning, Keyword Highlighting"")",Safe
"st.sidebar.title(""System Info"")
st.sidebar.info(""Model: Naive Bayes Classifier"")
st.sidebar.info(""Features: URL Scanning, Keyword Highlighting"")",Phishing
"URGENT: Your bank account has been suspended!

We noticed unusual activity on your account.
Please click the link below immediately to verify your identity:

http://secure-bank-verification.com/login

Failure to verify within 24 hours will result in permanent suspension.
",Phishing
"Security Alert

Your email password is about to expire.
Click here to reset your password now:

https://mail-security-check.net/reset

If you do not update your password, your email access will be blocked.
",Safe
"Security Alert

Your email password is about to expire.
Click here to reset your password now:

https://mail-security-check.net/reset

If you do not update your password, your email access will be blocked.
",Phishing
"Security Alert

Your email password is about to expire.
Click here to reset your password now:

https://mail-security-check.net/reset

If you do not update your password, your email access will be blocked.
",Phishing
"Congratulations!

You have won a reward of $10,000 in our annual lottery.
To claim your prize, please update your account information here:

www.claim-your-reward-now.com

Act fast to avoid losing your winnings!
",Phishing
"Hello Team,

This is a reminder that our weekly meeting will take place
on Thursday at 10:00 AM via Microsoft Teams.

Agenda and notes will be shared internally.

Best regards,
HR Department
",Safe
"Hello Team,

This is a reminder that our weekly meeting will take place
on Thursday at 10:00 AM via Microsoft Teams.

Agenda and notes will be shared internally.

Best regards,
HR Department
",Safe
"Hey,

Just checking in to see if you're free this weekend.
Let me know if you'd like to catch up.

Talk soon!
",Safe
"Hey,

Just checking in to see if you're free this weekend.
Let me know if you'd like to catch up.

Talk soon!
",Safe
"Hey,

Just checking in to see if you're free this weekend.
Let me know if you'd like to catch up.

Talk soon!
",Safe
"Hello,

Your account settings were updated successfully.
If you did not make this change, please contact our support team.

Thank you,
Customer Support
",Safe
"Hello,

Your account settings were updated successfully.
If you did not make this change, please contact our support team.

Thank you,
Customer Support
",Safe
"Click here to verify your account:
http://verify-now-account-security.com",Phishing
